
----------------------------------------------------------------------------
Started at: 23-Sep-2024 17:01:25

START	233.091		0
Display	Stimulus	Tag	Time
TRIGGER	StimTracker	64	1084.4869
TRIGGER	StimTracker	64	1086.2604
TRIGGER	StimTracker	64	1088.0508
TRIGGER	StimTracker	64	1089.6363
TRIGGER	StimTracker	64	1091.6284
TRIGGER	StimTracker	64	1093.6015
TRIGGER	StimTracker	4	1112.4905
TRIGGER	StimTracker	64	1112.5026
TRIGGER	StimTracker	64	1114.6235
TRIGGER	StimTracker	64	1116.262
TRIGGER	StimTracker	64	1118.1368
TRIGGER	StimTracker	64	1119.8797
TRIGGER	StimTracker	64	1121.8351
TRIGGER	StimTracker	64	1123.8431
TRIGGER	StimTracker	64	1125.6038
TRIGGER	StimTracker	64	1127.3415
TRIGGER	StimTracker	64	1129.0794
TRIGGER	StimTracker	64	1131.027
TRIGGER	StimTracker	128	1133.0921
TRIGGER	StimTracker	64	1135.0533
TRIGGER	StimTracker	64	1136.6049
TRIGGER	StimTracker	64	1138.4355
TRIGGER	StimTracker	128	1140.3744
TRIGGER	StimTracker	128	1142.2012
TRIGGER	StimTracker	128	1144.3502
TRIGGER	StimTracker	64	1146.4
TRIGGER	StimTracker	64	1148.5291
TRIGGER	StimTracker	64	1150.5024
TRIGGER	StimTracker	64	1152.413
TRIGGER	StimTracker	64	1154.2675
TRIGGER	StimTracker	128	1156.3716
TRIGGER	StimTracker	128	1158.2161
TRIGGER	StimTracker	64	1160.5107
TRIGGER	StimTracker	64	1162.6782
TRIGGER	StimTracker	64	1164.5562
TRIGGER	StimTracker	64	1166.608
TRIGGER	StimTracker	64	1168.8818
TRIGGER	StimTracker	1	1207.324
TRIGGER	StimTracker	64	1207.3355
TRIGGER	StimTracker	64	1208.9534
TRIGGER	StimTracker	64	1210.8174
TRIGGER	StimTracker	64	1212.3916
TRIGGER	StimTracker	64	1214.088
TRIGGER	StimTracker	64	1215.9167
TRIGGER	StimTracker	64	1217.8307
TRIGGER	StimTracker	64	1219.5288
TRIGGER	StimTracker	128	1220.9981
TRIGGER	StimTracker	64	1222.3777
TRIGGER	StimTracker	64	1224.0501
TRIGGER	StimTracker	64	1225.6968
TRIGGER	StimTracker	128	1227.5431
TRIGGER	StimTracker	64	1229.2808
TRIGGER	StimTracker	128	1231.0272
TRIGGER	StimTracker	64	1232.6527
TRIGGER	StimTracker	64	1234.1461
TRIGGER	StimTracker	64	1236.0414
TRIGGER	StimTracker	64	1237.6765
TRIGGER	StimTracker	128	1239.1052
TRIGGER	StimTracker	64	1240.8659
TRIGGER	StimTracker	64	1242.4962
TRIGGER	StimTracker	64	1243.8908
TRIGGER	StimTracker	128	1245.7001
TRIGGER	StimTracker	64	1247.2309
TRIGGER	StimTracker	128	1248.7599
TRIGGER	StimTracker	64	1250.1878
TRIGGER	StimTracker	64	1251.7028
TRIGGER	StimTracker	64	1253.1827
TRIGGER	StimTracker	64	1254.8682
TRIGGER	StimTracker	4	1265.547
TRIGGER	StimTracker	64	1265.559
TRIGGER	StimTracker	64	1267.4703
TRIGGER	StimTracker	64	1269.447
TRIGGER	StimTracker	64	1271.3746
TRIGGER	StimTracker	64	1273.7058
TRIGGER	StimTracker	64	1275.919
TRIGGER	StimTracker	64	1277.9635
TRIGGER	StimTracker	128	1280.317
TRIGGER	StimTracker	64	1282.0509
TRIGGER	StimTracker	64	1284.1379
TRIGGER	StimTracker	64	1286.2093
TRIGGER	StimTracker	128	1287.8331
TRIGGER	StimTracker	64	1289.8066
TRIGGER	StimTracker	64	1291.7859
TRIGGER	StimTracker	64	1294.2094
TRIGGER	StimTracker	128	1296.2922
TRIGGER	StimTracker	64	1298.3516
TRIGGER	StimTracker	64	1300.3264
TRIGGER	StimTracker	64	1302.4644
TRIGGER	StimTracker	64	1304.3434
TRIGGER	StimTracker	128	1306.1534
TRIGGER	StimTracker	64	1308.0088
TRIGGER	StimTracker	128	1310.2671
TRIGGER	StimTracker	64	1312.4581
TRIGGER	StimTracker	64	1314.4799
TRIGGER	StimTracker	64	1316.5417
TRIGGER	StimTracker	128	1318.6328
TRIGGER	StimTracker	64	1320.854
TRIGGER	StimTracker	64	1323.0183
TRIGGER	StimTracker	64	1325.178
TRIGGER	StimTracker	1	1345.8572
TRIGGER	StimTracker	128	1345.869
TRIGGER	StimTracker	64	1347.3934
TRIGGER	StimTracker	64	1348.9874
TRIGGER	StimTracker	64	1350.828
TRIGGER	StimTracker	128	1352.6357
TRIGGER	StimTracker	64	1354.2777
TRIGGER	StimTracker	64	1355.809
TRIGGER	StimTracker	128	1357.2509
TRIGGER	StimTracker	64	1358.985
TRIGGER	StimTracker	64	1360.6094
TRIGGER	StimTracker	64	1362.0701
TRIGGER	StimTracker	128	1363.6463
TRIGGER	StimTracker	64	1365.0958
TRIGGER	StimTracker	64	1366.8851
TRIGGER	StimTracker	64	1368.4353
TRIGGER	StimTracker	128	1370.2773
TRIGGER	StimTracker	64	1371.6496
TRIGGER	StimTracker	64	1373.4256
TRIGGER	StimTracker	64	1375.1005
TRIGGER	StimTracker	64	1376.7867
TRIGGER	StimTracker	64	1378.5255
TRIGGER	StimTracker	64	1380.3051
TRIGGER	StimTracker	128	1381.7657
TRIGGER	StimTracker	64	1383.62
TRIGGER	StimTracker	64	1384.9882
TRIGGER	StimTracker	64	1386.4979
TRIGGER	StimTracker	64	1387.9502
TRIGGER	StimTracker	64	1389.7745
TRIGGER	StimTracker	64	1391.1682
TRIGGER	StimTracker	64	1392.8294
TRIGGER	StimTracker	2	1407.4209
TRIGGER	StimTracker	64	1407.433
TRIGGER	StimTracker	128	1409.2979
TRIGGER	StimTracker	64	1411.2704
TRIGGER	StimTracker	128	1412.8205
TRIGGER	StimTracker	64	1414.7514
TRIGGER	StimTracker	64	1416.5406
TRIGGER	StimTracker	64	1418.4182
TRIGGER	StimTracker	64	1420.0528
TRIGGER	StimTracker	64	1421.8539
TRIGGER	StimTracker	128	1423.7346
TRIGGER	StimTracker	64	1425.7324
