
----------------------------------------------------------------------------
Started at: 23-Sep-2024 17:01:25

START	233.091		0
Display	Stimulus	Tag	Time
TRIGGER	StimTracker	128	3099.6676
TRIGGER	StimTracker	64	3101.2154
TRIGGER	StimTracker	64	3103.1554
TRIGGER	StimTracker	64	3104.7523
TRIGGER	StimTracker	128	3106.7222
TRIGGER	StimTracker	64	3108.2998
TRIGGER	StimTracker	64	3110.0038
TRIGGER	StimTracker	64	3111.8238
TRIGGER	StimTracker	64	3113.6485
TRIGGER	StimTracker	64	3115.5113
TRIGGER	StimTracker	64	3117.3642
TRIGGER	StimTracker	64	3119.1269
TRIGGER	StimTracker	64	3120.7302
TRIGGER	StimTracker	64	3122.6523
TRIGGER	StimTracker	64	3124.3012
TRIGGER	StimTracker	64	3126.1556
TRIGGER	StimTracker	64	3128.1119
TRIGGER	StimTracker	64	3129.6843
TRIGGER	StimTracker	64	3131.6953
TRIGGER	StimTracker	64	3133.2362
TRIGGER	StimTracker	64	3135.1768
TRIGGER	StimTracker	2	3150.8139
TRIGGER	StimTracker	64	3150.826
TRIGGER	StimTracker	64	3152.3742
TRIGGER	StimTracker	128	3154.1746
TRIGGER	StimTracker	64	3156.1739
TRIGGER	StimTracker	64	3157.8659
TRIGGER	StimTracker	128	3159.8086
TRIGGER	StimTracker	128	3161.6399
TRIGGER	StimTracker	64	3163.5532
TRIGGER	StimTracker	64	3165.4754
TRIGGER	StimTracker	64	3167.0176
TRIGGER	StimTracker	64	3168.6874
TRIGGER	StimTracker	64	3170.539
TRIGGER	StimTracker	64	3172.3081
TRIGGER	StimTracker	64	3174.3187
TRIGGER	StimTracker	64	3176.2244
TRIGGER	StimTracker	128	3178.0359
TRIGGER	StimTracker	64	3179.7053
TRIGGER	StimTracker	128	3181.3504
TRIGGER	StimTracker	64	3183.316
TRIGGER	StimTracker	128	3185.0785
TRIGGER	StimTracker	64	3187.0303
TRIGGER	StimTracker	64	3188.6093
TRIGGER	StimTracker	64	3190.5679
TRIGGER	StimTracker	64	3192.108
TRIGGER	StimTracker	64	3194.0887
TRIGGER	StimTracker	64	3196.0639
TRIGGER	StimTracker	64	3197.8503
TRIGGER	StimTracker	64	3199.4312
TRIGGER	StimTracker	64	3201.0439
TRIGGER	StimTracker	64	3202.924
TRIGGER	StimTracker	1	3220.5805
TRIGGER	StimTracker	128	3220.5917
TRIGGER	StimTracker	64	3222.0217
TRIGGER	StimTracker	128	3223.7648
TRIGGER	StimTracker	64	3225.6059
TRIGGER	StimTracker	64	3227.1912
TRIGGER	StimTracker	64	3228.8828
TRIGGER	StimTracker	64	3230.4186
TRIGGER	StimTracker	64	3231.8882
TRIGGER	StimTracker	64	3233.6938
TRIGGER	StimTracker	64	3235.4156
TRIGGER	StimTracker	128	3236.9698
TRIGGER	StimTracker	64	3238.6775
TRIGGER	StimTracker	64	3240.3033
TRIGGER	StimTracker	64	3241.7642
TRIGGER	StimTracker	64	3243.1927
TRIGGER	StimTracker	128	3244.8548
TRIGGER	StimTracker	64	3246.4083
TRIGGER	StimTracker	64	3247.9486
TRIGGER	StimTracker	64	3249.4545
TRIGGER	StimTracker	64	3250.9523
TRIGGER	StimTracker	64	3252.5176
TRIGGER	StimTracker	64	3254.2808
TRIGGER	StimTracker	64	3255.7982
TRIGGER	StimTracker	64	3257.504
TRIGGER	StimTracker	64	3259.0992
TRIGGER	StimTracker	64	3260.7309
TRIGGER	StimTracker	128	3262.1811
TRIGGER	StimTracker	64	3263.6413
TRIGGER	StimTracker	128	3265.3626
TRIGGER	StimTracker	64	3266.8605
TRIGGER	StimTracker	2	3278.2242
TRIGGER	StimTracker	64	3278.2362
TRIGGER	StimTracker	64	3280.2388
TRIGGER	StimTracker	64	3282.1234
TRIGGER	StimTracker	64	3283.9888
TRIGGER	StimTracker	64	3285.9954
TRIGGER	StimTracker	64	3287.9178
TRIGGER	StimTracker	64	3289.7691
TRIGGER	StimTracker	64	3291.7893
TRIGGER	StimTracker	128	3293.3492
TRIGGER	StimTracker	64	3295.0041
TRIGGER	StimTracker	64	3297.0244
TRIGGER	StimTracker	64	3298.9423
TRIGGER	StimTracker	64	3300.7108
TRIGGER	StimTracker	128	3302.5818
TRIGGER	StimTracker	128	3304.3181
TRIGGER	StimTracker	64	3306.0382
TRIGGER	StimTracker	64	3307.6703
TRIGGER	StimTracker	64	3309.4057
TRIGGER	StimTracker	128	3310.962
TRIGGER	StimTracker	64	3312.7333
TRIGGER	StimTracker	128	3314.4309
TRIGGER	StimTracker	64	3316.4387
TRIGGER	StimTracker	64	3318.2478
TRIGGER	StimTracker	128	3320.1937
TRIGGER	StimTracker	64	3321.9262
TRIGGER	StimTracker	64	3323.6892
TRIGGER	StimTracker	64	3325.6259
TRIGGER	StimTracker	64	3327.6412
TRIGGER	StimTracker	64	3329.4399
TRIGGER	StimTracker	64	3331.4418
TRIGGER	StimTracker	4	3347.572
TRIGGER	StimTracker	64	3347.5832
TRIGGER	StimTracker	64	3349.9948
TRIGGER	StimTracker	64	3352.5383
TRIGGER	StimTracker	128	3354.9558
TRIGGER	StimTracker	64	3356.982
TRIGGER	StimTracker	64	3359.0293
TRIGGER	StimTracker	128	3360.9137
TRIGGER	StimTracker	64	3362.9721
TRIGGER	StimTracker	64	3365.129
TRIGGER	StimTracker	64	3367.0068
TRIGGER	StimTracker	128	3368.6564
TRIGGER	StimTracker	64	3370.7766
TRIGGER	StimTracker	64	3372.7677
TRIGGER	StimTracker	64	3374.5989
TRIGGER	StimTracker	64	3376.55
TRIGGER	StimTracker	64	3378.8782
TRIGGER	StimTracker	128	3380.8215
TRIGGER	StimTracker	64	3382.9041
TRIGGER	StimTracker	64	3385.1056
TRIGGER	StimTracker	64	3387.9635
TRIGGER	StimTracker	64	3389.8176
TRIGGER	StimTracker	64	3391.8071
TRIGGER	StimTracker	128	3393.7233
TRIGGER	StimTracker	64	3395.8428
TRIGGER	StimTracker	64	3398.192
TRIGGER	StimTracker	64	3400.3255
TRIGGER	StimTracker	64	3402.4107
TRIGGER	StimTracker	64	3404.094
TRIGGER	StimTracker	128	3405.9684
TRIGGER	StimTracker	64	3408.2222
TRIGGER	StimTracker	8	3564.7458
TRIGGER	StimTracker	16	3564.8102
